ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"110.78.186.220","elite","AS131090","TH","CAT-BB","191","N/A","4145","socks4","870","1","2025-04-06T14:49:51.579Z","68","6317","9336"
"51.38.240.160","elite","AS16276","FR","OVH SAS","14","De Faria Edward","3128","socks4","1499","1","2025-04-06T14:49:51.583Z","100","2230","2231"
"113.74.26.114","elite","AS4134","CN","Chinanet","250","Chinanet GD","4145","socks4","3685","1","2025-04-06T14:49:51.581Z","90","8450","9392"
"76.81.6.107","elite","AS20001","US","Spectrum","156","Road Runner","31008","socks4","1990","1","2025-04-06T14:49:51.588Z","99","2714","2734"
"103.79.96.217","elite","AS64308","ID","PT IndoDev Niaga Internet","177","PT IndoDev Niaga Internet","4153","socks4","2099","1","2025-04-06T14:49:51.580Z","99","9320","9408"
"14.185.53.138","elite","AS45899","VN","VNPT","274","Vietnam Posts and Telecommunications Group","1080","socks5","4303","1","2025-04-06T14:49:51.587Z","30","776","2581"
"119.28.78.224","elite","AS132203","HK","ComsenzNet","301","Tencent cloud computing (Beijing) Co., Ltd.","29900","socks4","3210","1","2025-04-06T14:49:51.589Z","22","2116","9466"
"5.9.167.130","elite","AS24940","DE","Hetzner","8","B&W-NetworX GmbH & Co. KG","30000","socks4","345","1","2025-04-06T14:49:51.677Z","100","9397","9407"
"185.169.181.27","elite","AS34984","TR","Ates Dc","48","Ibrahim MALA trading as Ates Dc","4145","socks4","4265","1","2025-04-06T14:49:51.678Z","100","9402","9429"
"103.204.55.221","elite","AS59165","IN","RB5","148","N/A","1080","socks4","4902","1","2025-04-06T14:49:51.589Z","99","2496","2530"
"90.210.1.20","elite","AS5607","GB","Sky UK Limited","21","Sky Broadband","8080","socks4","3072","1","2025-04-06T14:49:51.584Z","73","1092","1494"
"128.199.165.63","elite","AS14061","SG","DigitalOcean, LLC","156","DigitalOcean, LLC","49093","socks4","1801","1","2025-04-06T14:49:51.590Z","98","2684","2728"
"1.179.148.9","elite","AS131293","TH","TOT Public Company Limited","203","TOT Public Company Limited","36476","socks4","2887","1","2025-04-06T14:49:51.577Z","95","1115","1170"
